Start.time,Completion.time,Name,Age,Gender,Nationality,Employment.status,Duration.of.your.studies.in.Segovia.,Type.of.home.you.live.in.,Square.footage.of.the.property.,Number.of.roommates,Area.or.neighborhood.in.Segovia.where.you.live,Email,Duration of your lease,How long do you      expect to stay in your current residence?,How much do you pay monthly in your rental contract,"Which services and costs are included in the contract (internet, gas, water..)","Do you have any other service contracted (laundry, cleaning...) Please list them",What are the monthly cost of these services,Did you find the appartment thorugh a platform/portal/agency? ,Which one? ,What were the main difficulties you encountered when searching for housing?
1970-01-01 12:41:06.52463,45670.2242642388,,19,Woman,Brazil,Only studying,2 year,Student residence ,95,2,Center,,1 curso académico,I will move to another residence for the duration of my studies.,1500,Full board,Brwkfast and dinner,50€ each full cleaning manteinance included,No,beyond ie,High prices;None met my expectations;
1970-01-01 12:41:12.497361,45675.1464729185,,18,Man,Belgium,Only studying,1 year,Rental with a private landlord,300m2,2,Center,anonymous,Study year,I will move to another residence for the duration of my studies.,1300,all,Cleaning and manteinance,Included,Yes,Housing platform (dont remember name),Availability;High prices;
1970-01-01 12:40:15.778484,45677.5885532407,,18,Woman,Philippines,Only studying,6 month,Student residence ,80m2,3,Center,anonymous,Academics year,I will move to another residence for the duration of my studies.,1500,Gas electric unit,Cleaning and food (media pensión),100,,Ie,NA;
1970-01-01 12:40:18.885683,45677.5885532407,,22,Woman,USA,Only studying,2 years,Rental with a private landlord,80,0,Acueducto,,5 months,I will stay only as long as my studies last,1150,Gas electric unit,"Manteinance, cleaning once a week and information",100,Yes,Idealista,
1970-01-01 12:40:15.784826,45611.7920601852,,18,Woman,USA,Only studying,6 month,Rental with a private landlord,20m2,0,Center,,6 month,I will stay only as long as my studies last,1200,All,Cleaning once a week,-,,Strident houses,Availability;High prices;
1970-01-01 12:41:17.586123,45677.5885532407,,19,Woman,Spanish Egyptian,Only studying,1 semester,Rental with a private landlord,110,0,Plaza Mayor,anonymous,Año académico.,I will move to another residence for the duration of my studies.,1540,Gas electric unit,cleaning and maintenance,included,,Uniplaces,High prices;
1970-01-01 12:41:17.517894,45671.659908437,,20,Man,Spain/China,Only studying,4 years,Rental with a private landlord,15,5,San Facundo,,10 mints academic year,I will move to another residence for the duration of my studies.,1400,Gas electric unit,,NA,No,Te tal Agency,High prices;
1970-01-01 12:41:17.578461,45674.3261048052,,19,Woman,Brazil,Only studying,9 months,Rental with a company,12m2,0,Centre,,Año académico.,I will move to another residence for the duration of my studies.,1540,No,"Full Board, bedroom cleaning, bed linen and towel laundry service",included,,Housing platform (dont remember name),High prices;
1970-01-01 12:41:12.497361,45676.9923011733,,20,Man,El Salvador,Only studying,2 years,Rental with a private landlord,12m2,2,Center,,,I will stay only as long as my studies last,875,,"Half board, cleaning just common areas and weekly bathroom cleaning, bed linen and towels laundry",,,,High prices;Availability;
1970-01-01 12:41:06.51912,45674.1210127769,,19,Woman,Brazil,Only studying,9 month,Student residence ,300m2,2,San Nicolás,anonymous,1 academic year,I will move to another residence for the duration of my studies.,1500,All,Cleaning and manteinance,50€ each full cleaning manteinance included,,Idealista,Availability;
1970-01-01 12:41:12.502083,45633.9229752262,,20,Woman,Hungary,Only studying,1 semester,Rental with a private landlord,90,2,Plaza Mayor,,6 month,I will stay only as long as my studies last,1200,yes,"Full Board, bedroom cleaning, bed linen and towel laundry service",included,,Strident houses,Availability;High prices;
1970-01-01 12:40:15.784826,45677.5885532407,,22,Man,Italian,Only studying,9 months,Student residence ,75m,0,Plaza mayor,anonymous,1 curso académico,I will stay only as long as my studies last,730,Internet agua electricidad,Brwkfast and dinner,included,Yes,Beyond campus,
1970-01-01 12:40:15.778484,45672.275184522,,19,Woman,Mexico,Only studying,9 moth,Rental with a private landlord,80m2,0,Acueduxt San lorenzo,,1 academic year,I will move to another residence for the duration of my studies.,,Yes,Everything included,included,,Sogeima,Availability;
1970-01-01 12:40:29.814005,45670.2242642388,,18,Woman,Belgium,Only studying,2 years,Student residence ,Studio,3,Center,,Julio 2025,I will stay only as long as my studies last,590,All foo,manteinance and cleaning,laundry for 25€,Yes,beyond campus,
1970-01-01 12:40:29.810937,45668.3784359839,,22,Man,Hungary,Only studying,9 month,Student residence ,105,0,Center,anonymous,Ayuden year,I will move to another residence for the duration of my studies.,275,,"Half board, cleaning just common areas and weekly bathroom cleaning, bed linen and towels laundry",included,,Beyond IE,Availability;High prices;
1970-01-01 12:41:11.461725,45677.5885532407,,20,Woman,Italian,Only studying,2 alis,Rental with a company,105,0,Plaza mayor,,1 year study,I will stay only as long as my studies last,820,All foo,"all included, cleaning, full board, manteinance, bed linen and towels laundry",included,,Te tal Agency,Availability;
1970-01-01 12:41:06.513125,45672.6853685786,,22,Woman,Belgium,Only studying,1 semester,Rental with a company,50m2,2,Plaza mayor,anonymous,1 curso académico,I will move to another residence for the duration of my studies.,820,Internet agua electricidad,Everything even healthcare,laundry for 25€,No,beyond campus,Availability;
1970-01-01 12:40:18.882222,45633.5127911695,,18,Woman,Spain,Only studying,6 month,Rental with a private landlord,20m2,2,San Lorenzo,,Study year,I will stay only as long as my studies last,590,All foo,All,100,,IE,High prices;Availability;
1970-01-01 12:41:06.51912,45666.532607729,,18,Man,Germany,Studying and working ,9 months,Rental with a company,60m2,3,Plaza mayor,anonymous,Ayuden year,I will stay only as long as my studies last,275,Everything,"Manteinance, cleaning once a week and information",laundry for 25€,No,Sogeima,Availability;
1970-01-01 12:41:12.491157,45677.5885532407,,20,Prefer not to say,Italy,Only studying,9 months,Student residence ,10m2,2,San Lorenzo,anonymous,1 year,I will stay only as long as my studies last,1250,Everything,Brwkfast and dinner,Included,No,Beyond ie,High prices;None met my expectations;
1970-01-01 12:41:06.52463,45677.5885532407,,22,Man,Egypt,Only studying,9 months,Student residence ,147,0,Center,anonymous,Ayuden year,I will move to another residence for the duration of my studies.,650,All foo,None,100,,Betina camous,High prices;
1970-01-01 12:40:29.814005,45660.7900309361,,19,Man,Portuguese,Only studying,2 alis,Student residence ,110,2,Plaza Mayor,,9 months,I will move to another residence for the duration of my studies.,1250,,Cleaning,-,,Vizcaínos idealista,Availability;High prices;
1970-01-01 12:40:29.810937,45611.7920601852,,18,Man,India,Only studying,9 month,Rental with a private landlord,20,4,On campus,,1 curso académico,I will move to another residence for the duration of my studies.,400,yes,"towel and bed linen laundry, breakfast, lunch and dinner",-,,vizcainos,NA;
1970-01-01 12:40:45.428924,45664.6867794742,,19,Man,France,Only studying,1 year a half,Rental with a private landlord,20m2,0,Acueduct,anonymous,Academic year,I will stay only as long as my studies last,1200,,Everything even healthcare,laundry for 25€,No,Housing platform (dont remember name),Availability;
1970-01-01 12:41:17.564988,45631.6669629147,,19,Man,Italy,Only studying,2y,Student residence ,300m2,2,Acueducto,,1 curso académico,I will move to another residence for the duration of my studies.,1150,No,Cleaning and manteinance,100,,beyond ie,High prices;None met my expectations;
1970-01-01 12:41:12.488113,45667.763159899,,19,Man,Argentina,Only studying,6 months,Rental with a private landlord,100,2,Center,anonymous,Julio 2025,I will move to another residence for the duration of my studies.,730,yes,None,NA,,Uniplaces,
1970-01-01 12:40:29.810937,45677.5885532407,,18,Man,Germany,Only studying,2 years,Rental with a private landlord,150,0,San Lorenzo,,10 month,I will stay only as long as my studies last,1000,Full board,Laundry and cleaning,-,Yes,Betina camous,NA;
1970-01-01 12:41:17.540301,45669.1988040972,,19,Man,El Salvador,Studying and working ,2 year,Rental with a private landlord,110,2,San Lorenzo,anonymous,1 year study,I will stay only as long as my studies last,1350,all,All,Included,,Inn family,Availability;High prices;
1970-01-01 12:41:06.51912,45677.5885532407,,18,Woman,Moldovan,Only studying,2 yeas,Student residence ,85 70,0,Center,,,I will stay only as long as my studies last,1400,all,Cleaning once a week,,No,Te tal Agency,High prices;Availability;
1970-01-01 12:41:12.497361,45664.8918715025,,19,Man,Hungary,Only studying,2 year,Rental with a private landlord,120,2,Center,anonymous,6 month,I will move to another residence for the duration of my studies.,875,No,All,included,Yes,Betina camous,NA;
1970-01-01 12:41:17.56162,45667.5580678706,,21,Woman,Ecuador,Only studying,2 year,Student residence ,50m2,2,San Lorenzo,anonymous,10 month,I will move to another residence for the duration of my studies.,275,No,"Full Board, weekly bed linen and towel laundry service and cleaning",NA,Yes,Strident houses,
1970-01-01 12:40:29.810937,45654.2270860298,,19,Man,French lebanese,Only studying,2 year,Rental with a private landlord,80m2,5,center,,Academics year,I will stay only as long as my studies last,820,All,Everything included,-,Yes,Sogeima,Availability;High prices;
1970-01-01 12:40:18.890069,45674.5311968335,,20,Man,Spanish Egyptian,Only studying,2 year,Rental with a private landlord,12m2,4,Center,,Study year,I will move to another residence for the duration of my studies.,700,Gas electric unit,Cleaning once a week,,Yes,Betina camous,High prices;None met my expectations;
1970-01-01 12:41:17.535648,45658.9442026812,,18,Woman,Belgium,Only studying,1 year a half,Rental with a private landlord,30m2,3,Center,anonymous,10 months,I will move to another residence for the duration of my studies.,820,No,,laundry for 25€,,Housing platform (dont remember name),Availability;High prices;
1970-01-01 12:41:17.525359,45672.6853685786,,20,Woman,Philippines,Only studying,2 yeats,Family home ,Studio,2,Acueducto,,6 month,I will move to another residence for the duration of my studies.,1050,Wi-Fi water everything,Everything included,Included,No,Te tal Agency,
1970-01-01 12:41:12.491157,45631.4618708863,,22,Woman,Ecuador,Only studying,1 semester,Student residence ,50m2,1,center,,10 months,I will move to another residence for the duration of my studies.,275,Full board,All but cleaning,NA,No,Ie,Availability;
1970-01-01 12:41:13.691042,45660.7900309361,,18,Woman,USA,Only studying,4 years,Rental with a private landlord,75m,2,San Lorenzo,,Academic year,I will move to another residence for the duration of my studies.,1880,No,Brwkfast and dinner,100,No,Idealista,High prices;
1970-01-01 12:40:18.885683,45669.8140801822,,18,Woman,Spain,Only studying,2 year,Student residence ,20m2,1,Calle Juan bravo,anonymous,5 months,I will move to another residence for the duration of my studies.,1350,yes,"Half board, cleaning just common areas and weekly bathroom cleaning, bed linen and towels laundry",NA,Yes,beyond campus,
1970-01-01 12:41:12.502083,45677.5885532407,,20,Woman,Philippines,Only studying,4 years,Rental with a private landlord,10m2,2,San Lorenzo,anonymous,5 months,I will stay only as long as my studies last,,All foo,None,NA,Yes,Beyond IE,
1970-01-01 12:41:06.48375,45663.2511352759,,22,Woman,Seitzerlan turkey,Only studying,2 yesrs,Rental with a private landlord,95,2,Center,,Ayuden year,I will move to another residence for the duration of my studies.,1150,Internet agua electricidad,Brwkfast and dinner,laundry for 25€,No,Beyind campos,
1970-01-01 12:41:06.493299,45676.5821171167,,20,Man,Colmbia,Only studying,2 yeas,Rental with a private landlord,110,2,Centre,,6 months,I will stay only as long as my studies last,1500,all,"Half board, cleaning just common areas and weekly bathroom cleaning, bed linen and towels laundry",50€ each full cleaning manteinance included,,Idealista,NA;
,45613.0035883376,,18,Woman,Lebanon,Only studying,2,Rental with a private landlord,20m2,0,Center,,Academics year,I will move to another residence for the duration of my studies.,1200,all,Laundry and cleaning,100,No,Beyond ie,High prices;
1970-01-01 12:41:12.497361,45657.9187425396,,22,Man,India,Only studying,6 month,Student residence ,80,0,Center,anonymous,10 mints academic year,I will stay only as long as my studies last,1100,No,1100 limpieza y comida,-,Yes,Idealista,
1970-01-01 12:40:29.810937,45670.4293562671,,19,Man,India,Only studying,2 yeas,Student residence ,160,1,Center,,Año académico.,I will move to another residence for the duration of my studies.,275,yes,"half board, bed linen and towel change weekly, bedroom cleaning daily, manteinance",-,Yes,Vizcaínos idealista,High prices;Availability;
1970-01-01 12:41:17.540301,45627.7702143766,,18,Woman,France,Only studying,2 years,Rental with a private landlord,100m2,5,San Lorenzo,,5 months,I will stay only as long as my studies last,820,all,"Full Board, bed linen and towel laundry service",laundry for 25€,Yes,Ie,High prices;
1970-01-01 12:40:29.810937,45663.0460432476,,20,Man,USA,Only studying,2 years,Student residence ,12m2,0,Plaza mayor,,Study year,I will move to another residence for the duration of my studies.,1350,Gas electric unit,No,laundry for 25€,,Housing platform (dont remember name),High prices;
1970-01-01 12:40:14.323403,45611.7920601852,,22,Man,USA,Only studying,9 months,Student residence ,100,0,Plaza Mayor,anonymous,Ayuden year,I will move to another residence for the duration of my studies.,960,Wi-Fi water everything,Food cleaning (Cara),50€ each full cleaning manteinance included,No,Housing platform (dont remember name),Availability;High prices;
1970-01-01 12:40:45.428924,45625.9243861217,,20,Man,Germany,Only studying,2 year,Rental with a company,50m2,2,Center,,1 year,I will stay only as long as my studies last,400,All foo,"half board, bed linen and towel change weekly, bedroom cleaning daily, manteinance",Included,Yes,Housing platform (dont remember name),Availability;
1970-01-01 12:41:06.513125,45674.5311968335,,18,Woman,El Salvador,Only studying,2 year,Rental with a private landlord,10m2,0,"Residencia al lado,  center",anonymous,Study year,I will stay only as long as my studies last,590,All foo,Limpieza opcional,NA,No,Beyond campus,Availability;
1970-01-01 12:41:17.548021,45656.6881903697,,18,Man,India,Only studying,2 years,Student residence ,110,3,Centre,anonymous,1 year study,I will move to another residence for the duration of my studies.,500,No,None,included,No,Beyond camous,High prices;None met my expectations;
1970-01-01 12:41:17.517894,45674.1210127769,,21,Man,Germany,Only studying,2 years,Student residence ,20m2,0,San Lorenzo,,6 months,I will stay only as long as my studies last,1050,Internet agua electricidad,1100 limpieza y comida,-,,Beyond IE,High prices;
1970-01-01 12:41:12.497361,45677.5885532407,,18,Man,Belgium,Only studying,2 yeats,Family home ,80,2,Center,,9 months,I will move to another residence for the duration of my studies.,1200,Gas electric unit,Everything included,50€ each full cleaning manteinance included,,Ie,Availability;High prices;
1970-01-01 12:40:14.323403,45671.659908437,,18,Non-binary,USA,Only studying,4 years,Rental with a company,80,2,Acueducto,,10 months,I will stay only as long as my studies last,960,yes,"all included, cleaning, full board, manteinance, bed linen and towels laundry",100,,Beyond campus,High prices;
1970-01-01 12:40:18.883924,45669.6089881538,,19,Woman,Brazil,Only studying,4 years,Rental with a private landlord,Studio,0,Center,,1 academic year,I will move to another residence for the duration of my studies.,1500,No,All cleaning food,included,No,,High prices;None met my expectations;
1970-01-01 12:41:17.543866,45667.763159899,,20,Woman,USA,Only studying,2 year,Rental with a private landlord,20,5,Centre,,,I will move to another residence for the duration of my studies.,500,No,"half board, bed linen and towel change weekly, bedroom cleaning daily, manteinance",100,Yes,Beyind campos,High prices;
1970-01-01 12:41:17.548021,45672.6853685786,,22,Woman,Italy,Only studying,6 month,Student residence ,15,0,Center,anonymous,Academics year,I will move to another residence for the duration of my studies.,820,Full board,Cleaning once a week,-,No,Inn family,High prices;None met my expectations;
1970-01-01 12:41:17.564988,45677.5885532407,,20,Woman,Germany,Only studying,9 months,Student residence ,20m2,0,center,,9 month,I will stay only as long as my studies last,1300,,Dios me al laundry,laundry for 25€,,Te tal Agency,
1970-01-01 12:40:23.657188,45671.8650004654,,19,Woman,Spain,Only studying,9 month,Family home ,300m2,1,Acueducto,anonymous,Año académico.,I will stay only as long as my studies last,650,No,Food cleaning (Cara),included,No,Beyond campus,High prices;None met my expectations;
1970-01-01 12:41:06.513125,45661.8154910777,,18,Woman,Spain,Only studying,2 years,Rental with a private landlord,10,2,center,,1 curso académico,I will stay only as long as my studies last,1400,All foo,Brwkfast and dinner,NA,Yes,Te tal Agency,High prices;Availability;
1970-01-01 12:41:06.52463,45667.3529758423,,21,Man,France,Only studying,2 alis,Family home ,110,5,Center,anonymous,Ayuden year,I will move to another residence for the duration of my studies.,590,Internet agua electricidad,None,-,Yes,beyond ie,High prices;Availability;
1970-01-01 12:40:45.428924,45670.0191722105,,22,Woman,Italy,Only studying,9 month,Rental with a private landlord,95,2,San Lorenzo,anonymous,Study year,I will move to another residence for the duration of my studies.,960,No,50!yhree montha,laundry for 25€,,Beyond ie,High prices;Availability;
1970-01-01 12:41:06.50912,45628.7956745182,,19,Woman,Hungary,Only studying,2 years,Rental with a private landlord,80m2,1,On campus,,Study year,I will move to another residence for the duration of my studies.,1000,All foo,50!yhree montha,laundry for 25€,No,Ie,NA;
1970-01-01 12:41:17.550949,45619.3614412155,,19,Woman,Phillipines,Only studying,6 month,Rental with a company,200m2,4,Acueducto,,1 academic year,I will stay only as long as my studies last,1300,Everything,"Full Board, daily bedroom cleaning, weekly bed linen and towel laundry service",,,Uniplaces,High prices;Availability;
1970-01-01 12:40:18.890069,45614.2341405075,,19,Man,France,Only studying,1 year a half,Student residence ,20m2,5,Center (San Nicolás),,10 mints academic year,I will stay only as long as my studies last,900,Everything,No,included,No,Idelaista,High prices;
1970-01-01 12:41:11.461725,45675.7617490034,,22,Woman,France,Only studying,2 year,Student residence ,20m2,3,Acueducto,,,I will stay only as long as my studies last,400,Gas electric unit,All,included,,Beyond ie,High prices;Availability;
1970-01-01 12:41:17.524005,45669.6089881538,,21,Woman,Colombia,Studying and working ,2 years,Student residence ,20m2,1,Plaza mayor,anonymous,5 months,I will stay only as long as my studies last,1540,,Everything included,Included,No,,High prices;
1970-01-01 12:41:06.498611,45662.4307671626,,20,Non-binary,Germany,Only studying,1 year a half,Family home ,10,0,Plaza mayor,,1 year,I will move to another residence for the duration of my studies.,590,All,Cleaning and food (media pensión),included,Yes,Idealista,
1970-01-01 12:41:17.58397,45668.1733439556,,22,Woman,Spain,Only studying,2 year,Rental with a private landlord,95,2,Factory,anonymous,10 mints academic year,I will stay only as long as my studies last,1100,Wi-Fi water everything,"Daily cleaning, laundry, full board and parking",100,Yes,Vizcaínos idealista,Availability;High prices;
1970-01-01 12:41:17.550949,45677.5885532407,,22,Woman,Española,Only studying,4 years,Rental with a private landlord,150,1,San Lorenzo,,10 months,I will move to another residence for the duration of my studies.,730,All foo,Breakfast cleaning gym,included,Yes,Sogeima,Availability;High prices;
1970-01-01 12:40:23.657188,45670.0191722105,,18,Woman,Brazil,Only studying,2 yeas,Rental with a private landlord,10m2,2,San Lorenzo,anonymous,9 month,I will move to another residence for the duration of my studies.,1100,Full board,Cleaning and manteinance,100,,Beyond IE,Availability;High prices;
1970-01-01 12:41:12.494572,45672.0700924937,,19,Man,Spain,Only studying,4 years,Rental with a company,300m2,0,San Lorenzo,anonymous,1 academic year,I will move to another residence for the duration of my studies.,700,yes,Dios me al laundry,included,Yes,beyond ie,NA;
1970-01-01 12:41:17.586123,45671.659908437,,18,Woman,Moldovan,Only studying,6 month,Rental with a private landlord,80,0,Center,anonymous,Study year,I will stay only as long as my studies last,730,No,Cleaning Laundry,50€ each full cleaning manteinance included,Yes,Beyond IE,NA;
1970-01-01 12:41:17.524005,45662.020583106,,22,Man,Us,Only studying,9 months,Rental with a private landlord,110,0,San Lorenzo,anonymous,Año académico.,I will move to another residence for the duration of my studies.,700,all,"all included, cleaning, full board, manteinance, bed linen and towels laundry",100,Yes,IE,Availability;
1970-01-01 12:41:17.529201,45661.6103990494,,20,Man,Spanish Egyptian,Only studying,1 semester,Rental with a company,300m2,3,Acueduct,anonymous,1 academic year,I will stay only as long as my studies last,400,All foo,weekly cleaning and optional laundry,-,,Friend,
1970-01-01 12:41:17.586123,45677.5885532407,,19,Man,Moldovan,Only studying,6 month,Rental with a private landlord,80,0,Center,anonymous,1 year study,I will stay only as long as my studies last,1350,All foo,manteinance and cleaning,Included,,Uniplaces,NA;
1970-01-01 12:40:29.814005,45611.7920601852,,17,Man,Argentina,Only studying,2 year,Family home ,75m,0,San Nicolás,anonymous,9 month,I will stay only as long as my studies last,1300,All foo,Limpieza opcional,laundry for 25€,No,Idealista,Availability;
1970-01-01 12:40:15.784826,45673.5057366919,,20,Man,Us,Only studying,6 month,Rental with a private landlord,20m2,0,Center (San Nicolás),,9 months,I will stay only as long as my studies last,730,Internet agua electricidad,Laundry and cleaning,Included,Yes,Friend,High prices;Availability;
1970-01-01 12:40:18.885683,45650.3303374918,,18,Man,France,Only studying,1 year a half,Student residence ,200m2,1,On campus,,6 months,I will stay only as long as my studies last,500,Yes,"Manteinance, cleaning once a week and information",included,Yes,Betina camous,Availability;
1970-01-01 12:41:17.586123,45674.1210127769,,20,Woman,France,Only studying,1 semester,Student residence ,20m2,2,Center,anonymous,Academic year,I will stay only as long as my studies last,400,Yes,"Full Board, daily bedroom cleaning, weekly bed linen and towel laundry service",,,Housing platform (dont remember name),Availability;High prices;
1970-01-01 12:41:17.56162,45621.002177442,,19,Man,Lebanese,Only studying,2 year,Rental with a private landlord,80,1,Center,,10 mints academic year,I will stay only as long as my studies last,1200,Internet agua electricidad,Brwkfast and dinner,NA,Yes,Ie,Availability;
1970-01-01 12:40:29.814005,45647.4590490953,,22,Man,USA,Only studying,2 alis,Student residence ,95,2,Berber denporreros,,9  months,I will move to another residence for the duration of my studies.,1400,yes,"all included, cleaning, full board, manteinance, bed linen and towels laundry",,No,Te tal Agency,High prices;
1970-01-01 12:41:17.58191,45674.1210127769,,19,Man,Belgium,Only studying,2 year,Rental with a private landlord,20m2,0,Center,anonymous,Academic year,I will stay only as long as my studies last,275,All,"Daily cleaning, laundry, full board and parking",laundry for 25€,No,Betina camous,Availability;High prices;
,45663.6613193326,,18,Woman,Colombia,Only studying,2 year,Student residence ,10m2,1,Acueducto,anonymous,9  months,I will stay only as long as my studies last,875,Everything,50!yhree montha,included,,Beyond campus,High prices;Availability;
1970-01-01 12:40:29.814005,45677.5885532407,,18,Woman,Española,Studying and working ,2 yeas,Student residence ,75m,1,Center,anonymous,5 months,I will move to another residence for the duration of my studies.,400,Gas electric unit,Cleaning once a week,laundry for 25€,Yes,Uniplaces,Availability;High prices;
1970-01-01 12:41:12.502083,45611.7920601852,,20,Man,Española,Only studying,4 years,Student residence ,200m2,3,Center,anonymous,6 month,I will move to another residence for the duration of my studies.,1200,Yes,Laundry and cleaning,50€ each full cleaning manteinance included,No,Beyond ie,
1970-01-01 12:41:06.498611,45611.7920601852,,18,Woman,Spain/China,Only studying,2 years,Rental with a private landlord,20m2,2,San Lorenzo,anonymous,Julio 2025,I will stay only as long as my studies last,875,,Cleaning Laundry,-,No,beyond campus,High prices;None met my expectations;
1970-01-01 12:40:29.810937,45674.9413808902,,18,Man,Canada,Only studying,2 yeas,Rental with a private landlord,12m2,3,Center,,10 months,I will stay only as long as my studies last,1150,Everything,Cleaning and food (media pensión),laundry for 25€,,Ie,High prices;Availability;
1970-01-01 12:41:17.56162,45666.3275157007,,18,Man,Italy,Only studying,4 years,Rental with a private landlord,100m2,1,Center,anonymous,10 months,I will stay only as long as my studies last,1150,Wi-Fi water everything,All but cleaning,included,,Inn family,Availability;High prices;
1970-01-01 12:40:15.778484,45668.7886200406,,22,Man,Spain/China,Only studying,2 year,Rental with a private landlord,120,0,Berber denporreros,,9 months,I will stay only as long as my studies last,1350,Yes,All but cleaning,included,No,Beyond campus,NA;
1970-01-01 12:41:12.497361,45657.7136505113,,18,Woman,Georgia,Only studying,2 year,Rental with a private landlord,80m2,2,"Residencia al lado,  center",anonymous,,I will move to another residence for the duration of my studies.,820,All,Everything included,included,No,Strident houses,Availability;High prices;
1970-01-01 12:41:12.494572,45669.8140801822,,18,Woman,France,Only studying,9 month,Student residence ,10m2,2,Center,anonymous,9 months,I will stay only as long as my studies last,1150,Gas electric unit,Limpieza opcional,100,,beyond ie,High prices;Availability;
1970-01-01 12:41:17.517894,45611.7920601852,,19,Man,USA,Only studying,2 year,Rental with a company,100,2,center,anonymous,1 year study,I will move to another residence for the duration of my studies.,1150,yes,Cleaning and food (media pensión),-,Yes,IE,
1970-01-01 12:41:06.529549,45677.5885532407,,21,Woman,Spain,Only studying,6 month,Rental with a company,95,1,Acueduct,,1 curso académico,I will move to another residence for the duration of my studies.,400,All,"Full Board, bed linen and towel laundry service",-,Yes,vizcainos,Availability;
1970-01-01 12:40:45.428924,45677.5885532407,,19,Man,Spain,Only studying,6 month,Rental with a private landlord,80m2,1,San Nicolás,,Julio 2025,I will move to another residence for the duration of my studies.,730,Yes,No,included,Yes,Inn family,High prices;Availability;
1970-01-01 12:40:18.890069,45669.4038961255,,20,Man,Italian,Only studying,6 months,Student residence ,160,3,Center,,Academic year,I will move to another residence for the duration of my studies.,1250,Wi-Fi water everything,"Full Board, daily bedroom cleaning, weekly bed linen and towel laundry service",laundry for 25€,,Ie,High prices;None met my expectations;
1970-01-01 12:40:14.323403,45668.7886200406,,18,Woman,India,Only studying,1 year,Rental with a private landlord,100m2,5,Acueduct,,10 month,I will move to another residence for the duration of my studies.,650,yes,"Full Board, bed linen and towel laundry service",laundry for 25€,No,Beyind campos,High prices;
1970-01-01 12:40:18.883924,45676.1719330601,,19,Man,Ecuador,Only studying,2 yeats,Student residence ,95,0,Acueducto,anonymous,10 months,I will stay only as long as my studies last,1250,Gas electric unit,Cleaning Laundry,-,No,Ie,High prices;Availability;
1970-01-01 12:41:06.513125,45662.4307671626,,19,Woman,Italy,Only studying,2 year,Rental with a company,10,2,Center,anonymous,,I will move to another residence for the duration of my studies.,730,Internet agua electricidad,Cleaning Laundry,included,,Idelaista,NA;
1970-01-01 12:41:06.48375,45621.4123614987,,21,Man,Spain,Only studying,2 yesrs,Student residence ,150,2,Factory,,9  months,I will stay only as long as my studies last,650,All foo,Limpieza opcional,included,No,Ie,High prices;None met my expectations;
1970-01-01 12:41:12.491157,45671.4548164087,,19,Man,Spain,Only studying,9 months,Student residence ,50m2,0,Acueduxt San lorenzo,,9 month,I will move to another residence for the duration of my studies.,275,all,"Full Board, weekly bed linen and towel laundry service and cleaning",laundry for 25€,,Beyind campos,High prices;None met my expectations;
1970-01-01 12:41:06.476806,45666.1224236724,,19,Man,Hungary,Only studying,9 month,Student residence ,30m2,4,San Lorenzo,anonymous,1 curso académico,I will move to another residence for the duration of my studies.,1880,Wi-Fi water everything,All cleaning food,included,,Friend,NA;
1970-01-01 12:40:18.885683,45661.2002149927,,19,Man,Egypt,Only studying,2 yeats,Student residence ,105,0,San Lorenzo,,10 month,I will move to another residence for the duration of my studies.,820,All foo,"Daily cleaning, laundry, full board and parking",NA,Yes,Beyond campus,NA;
1970-01-01 12:40:45.428924,45662.635859191,,20,Man,Spain/China,Only studying,2 year,Rental with a private landlord,300m2,2,Calle Juan bravo,anonymous,Julio 2025,I will stay only as long as my studies last,590,Internet agua electricidad,Limpieza opcional,Included,,Idealista,NA;
1970-01-01 12:40:18.890069,45677.5885532407,,18,Man,Hungary,Only studying,6 month,Rental with a private landlord,147,0,Acueduct,,1 curso académico,I will move to another residence for the duration of my studies.,1500,Gas electric unit,weekly cleaning and optional laundry,50€ each full cleaning manteinance included,Yes,Te tal Agency,Availability;High prices;
1970-01-01 12:41:12.502083,45669.6089881538,,20,Man,Ecuador,Only studying,2 year,Rental with a private landlord,200m2,4,On campus,anonymous,6 months,I will stay only as long as my studies last,1500,,Cleaning and food (media pensión),,,Te tal Agency,Availability;High prices;
1970-01-01 12:40:29.814005,45664.2765954175,,20,Woman,India,Only studying,4 years,Rental with a private landlord,60m2,1,Center,anonymous,9  months,I will stay only as long as my studies last,1250,yes,cleaning and maintenance,laundry for 25€,,IE,
1970-01-01 12:41:17.525359,45666.9427917857,,20,Woman,Georgia,Only studying,1 semester,Student residence ,20m2,0,Berber denporreros,,1 year study,I will move to another residence for the duration of my studies.,1250,Full board,"half board, bed linen and towel change weekly, bedroom cleaning daily, manteinance",Included,No,Beyond IE,High prices;
1970-01-01 12:41:06.48375,45671.0446323521,,19,Woman,Spain,Only studying,4 years,Student residence ,80,1,Center,,,I will move to another residence for the duration of my studies.,590,Internet agua electricidad,manteinance and cleaning,100,No,Ie,
1970-01-01 12:40:18.885683,45619.1563491871,,18,Man,USA,Only studying,2 years,Rental with a private landlord,50m2,4,"Residencia al lado,  center",anonymous,6 months,I will stay only as long as my studies last,500,,All cleaning food,included,,Vizcaínos idealista,NA;
1970-01-01 12:41:17.58397,45676.787209145,,19,Man,Argentina,Only studying,9 months,Rental with a private landlord,100,0,Center,anonymous,,I will stay only as long as my studies last,730,Yes,None,included,Yes,beyond ie,NA;
